Area,Construction,Room,Warehouse,Parking,Elevator,Address,Price,Description
125,1401,3,True,True,True,۶ ساعت پیش در محمودآباد | فروش آپارتمان,۲٬۸۱۲٬۰۰۰٬۰۰۰ تومان,"<p class=""kt-description-row__text kt-description-row__text--primary"">❗️ مشخصات آپارتمان ❗️
 کد : A654


نام شهر: محمودآباد 
منطقه: خیابان آزادی 
متراژ بنا: 125
متراژ مشاعات :
طبقه:  4
کل طبقات ساختمان: 6
تعداد واحد هر طبقه: 1
کل واحد ها: 6
تعداد خواب: 3
سال ساخت: نوساز 

⭕️ آپشن های آپارتمان
✅ پارکینگ 


وضعیت سند: سنددار 


 قیمت طبقه ۴: متری ۲۲،۵۰۰ میلیون</p>"
103,1394,2,True,True,True,۶ ساعت پیش در محمودآباد | فروش آپارتمان,۶٬۱۸۰٬۰۰۰٬۰۰۰ تومان,"<p class=""kt-description-row__text kt-description-row__text--primary"">❗️ مشخصات آپارتمان ❗️
 کد : A650

نام شهر: محمودآباد 
منطقه: خیابان آزادی 
متراژ بنا: 103
متراژ مشاعات :
طبقه: 6
کل طبقات ساختمان: 10
تعداد واحد هر طبقه: 2
کل واحد ها: 20
تعداد خواب: 2
سال ساخت: سال 94

⭕️ آپشن های آپارتمان
✅ پلاک اول دریا 
✅ شهرکی 
✅ نگهبانی و سرایداری 24 ساعته 
✅ پارکینگ سندی
✅ کولر گازی و پکیج 
✅ 4 لاین آسانسور 
✅ جکوزی و سونا
✅ 2 بالکن با باربیکیو به چشم انداز دریا و شالیزار 


وضعیت سند: سنددار 


قیمت هر واحد :  6.180 میلیارد 
متری 60 میلیون 


#A650
#A6

کارشناس فروش، الهام مهرداد</p>"
126,1401,2,True,True,True,۶ ساعت پیش در محمودآباد | فروش آپارتمان,۳٬۵۲۰٬۰۰۰٬۰۰۰ تومان,"<p class=""kt-description-row__text kt-description-row__text--primary"">فروش آپارتمان نوساز کلید نخورده
کد:264
جنوبی جنگلی
طبقه 2 از 5
متراژ ۱۲۶ متر
هر طبقه دو واحد
اتاق ۲ 
یک خواب مستر
ساخت ۱۴۰۱
اسپلیت / شوفاژ
کف سرامیک
پارکینگ
انباری 
بالکن
تراس
سرویس ایرانی و فرنگی
سند تک برگ
•••••••••••••••••••••••••••••••
  رکوردسرعت فروش ملک،
باشبکه فروش گسترده املاک لیان 
کارشناس ومشاورفروش:
مجید فراهانی 
         ---------------------
آدرس دفتر:
مازندران،ایردشهر،بین گلستان۱۸و۱۹،جنب فروشگاه کورش،املاک لیان</p>"
126,1401,2,True,True,True,۶ ساعت پیش در محمودآباد | فروش آپارتمان,۳٬۷۷۰٬۰۰۰٬۰۰۰ تومان,"<p class=""kt-description-row__text kt-description-row__text--primary"">فروش آپارتمان نوساز کلید نخورده
کد:263
جنوبی جنگلی
طبقه ۴از ۵
متراژ ۱۲۶ متر
هر طبقه دو واحد
اتاق ۲ 
یک خواب مستر
ساخت ۱۴۰۱
اسپلیت / شوفاژ
کف سرامیک
پارکینگ
انباری 
بالکن
تراس
سرویس ایرانی و فرنگی
سند تک برگ
•••••••••••••••••••••••••••••••
  رکوردسرعت فروش ملک،
باشبکه فروش گسترده املاک لیان 
کارشناس ومشاورفروش:
مجید فراهانی 
         ---------------------
آدرس دفتر:
مازندران،ایردشهر،بین گلستان۱۸و۱۹،جنب فروشگاه کورش،املاک لیان</p>"
95,1397,2,True,True,True,۶ ساعت پیش در محمودآباد | فروش آپارتمان,۱٬۹۸۰٬۰۰۰٬۰۰۰ تومان,"<p class=""kt-description-row__text kt-description-row__text--primary"">♻️♻️برای انتخاب یهترینها با ما همراه شوید♻️♻️
⭕کد ۴۵۶
_________
✅آپارتمان شهری 
✅شهر ساحلی محموداباد
✅ ۴طبقه ۲ واحدی::::
✅طبقه اول قابل فروش 
✅:::  ۹۵ متری
✅۲ خواب 
✅کابینت:: کمد دیواری:: هود:::
✅حیاط سازی:: تراس:: آسانسور:: پارکینگ:: انباری
✅:::::: سند تک برگ:::::::
✅پروانه ساخت:: پایان کار
✅دارای انشعابات نصب
✅با متریال درجه یک و برند
:✔::::::::: قیمت با احترام  ۱/۹۸۰ میلیارد:::::::✔:
____________
♻️خرید ایمن 
♻️فروش راحت
♻️سرمایه گذاری مطمعن
___________________
☎️برای اطلاعات بیشتر با ما تماس بگیرید
✔مشاور فروش خانم سیفی
***********☎️
:::::::::::::::⚜ اعتماد شما اعتبار ماست⚜:::::::::::::
_✔_________ بازدید حضوری___________</p>"
95,1400,2,True,True,True,۶ ساعت پیش در محمودآباد | فروش آپارتمان,۱٬۴۵۰٬۰۰۰٬۰۰۰ تومان,"<p class=""kt-description-row__text kt-description-row__text--primary"">♻️♻️برای انتخاب یهترینها با ما همراه شوید♻️♻️
⭕کد ۴۵۴
_________
✅آپارتمان شهری
✅محمود آباد/ شهری//طبقه  ۲
✅ ۵طبقه ۳ واحدی::::
✅:::  ۹۵ متری
✅۲ خواب 
✅کابینت:: کمد دیواری:: هود:::
✅حیاط سازی:: تراس:: آسانسور:: پارکینگ:: انباری
✅:::::: سند تک برگ:::::::
✅پروانه ساخت:: پایان کار
✅دارای انشعابات نصب 
:✔::::::::: قیمت با احترام  ۱/۴۵۰ میلیارد:::::::✔:
____________
♻️خرید ایمن 
♻️فروش راحت
♻️سرمایه گذاری مطمعن
___________________
☎️برای اطلاعات بیشتر با ما تماس بگیرید
✔مشاور فروش خانم سیفی
***********☎️
:::::::::::::::⚜ اعتماد شما اعتبار ماست⚜:::::::::::::
_✔_________ بازدید حضوری___________</p>"
88,1400,2,True,True,True,۷ ساعت پیش در محمودآباد | فروش آپارتمان,۱٬۵۰۰٬۰۰۰٬۰۰۰ تومان,"<p class=""kt-description-row__text kt-description-row__text--primary"">با ما به نتیجه برسید✅
کاملا مهندسی ساخت✅
بهترین لوکیشن منطقه ساحلی✅
منطقه برند و توریستی بدون بومی✅
امنیت بسیار عالی✅
ویو ابدی و بسیار دلنشین✅
دسترسی عالی به اتوبان مرکز خرید و جنگل و دریا✅
تخفیف ویژه پای قرارداد‼️
خرید با هر بودجه و سلیقه 
کارشناس فروش:
خانم مهندس ذوالقدر</p>"
127,1400,2,True,True,True,۷ ساعت پیش در محمودآباد | فروش آپارتمان,۲٬۱۵۰٬۰۰۰٬۰۰۰ تومان,"<p class=""kt-description-row__text kt-description-row__text--primary"">*املاک بزرگ ویهان*
a494
واحد ۱۲۷متری ۲خواب 
مدارک کامل آماده انتقال 
انشعابات وصل 
کلیدنخورده 
منطقه امن و آرام تهرانی نشین 
دسترسی آسان به مراکز خرید و تفریحی و درمانی 
کارشناس امور ملکی :پونه فلاح زاده ***********</p>"
112,1401,2,True,True,True,۷ ساعت پیش در محمودآباد | فروش آپارتمان,۱٬۸۰۰٬۰۰۰٬۰۰۰ تومان,"<p class=""kt-description-row__text kt-description-row__text--primary"">*املاک بزرگ ویهان*
a492
واحد ۱۱۲متری ۲خواب مستر 
۷طبقه ۱۴ واحد 
مدارک کامل آماده انتقال 
انشعابات وصل 
کلیدنخورده 
منطقه امن و آرام تهرانی نشین 
دسترسی آسان به مراکز خرید و تفریحی و درمانی 
کارشناس امور ملکی :پونه فلاح زاده ***********</p>"
100,1398,2,True,True,True,۷ ساعت پیش در محمودآباد | فروش آپارتمان,۲٬۷۰۰٬۰۰۰٬۰۰۰ تومان,"<p class=""kt-description-row__text kt-description-row__text--primary"">*املاک بزرگ ویهان*
a652
واحد ۱۰۰متری ۲خواب 
مدارک کامل آماده انتقال 
انشعابات وصل 
منطقه امن و آرام تهرانی نشین 
دسترسی آسان به مراکز خرید و تفریحی و درمانی 
کارشناس امور ملکی :پونه فلاح زاده ***********</p>"
86,1396,2,False,True,True,۷ ساعت پیش در محمودآباد | فروش آپارتمان,۱٬۲۵۰٬۰۰۰٬۰۰۰ تومان,"<p class=""kt-description-row__text kt-description-row__text--primary"">*املاک بزرگ ویهان*
a281
۸۶متری ۲خواب 
مدارک کامل آماده انتقال 
انشعابات وصل 
منطقه امن و آرام تهرانی نشین 
دسترسی آسان به مراکز خرید و تفریحی و درمانی 
کارشناس امور ملکی :پونه فلاح زاده ***********</p>"
82,1399,2,False,True,True,۷ ساعت پیش در محمودآباد | فروش آپارتمان,۱٬۲۰۰٬۰۰۰٬۰۰۰ تومان,"<p class=""kt-description-row__text kt-description-row__text--primary"">*املاک بزرگ ویهان*
a408
واحد ۸۲متری ۲خواب مستر 
۴طبقه ۲واحدی
پارکینگ انباری 
مدارک کامل آماده انتقال 
انشعابات وصل 
منطقه امن و آرام تهرانی نشین 
دسترسی آسان به مراکز خرید و تفریحی و درمانی 
کارشناس امور ملکی :پونه فلاح زاده ***********</p>"
104,1400,2,True,True,True,۷ ساعت پیش در محمودآباد | فروش آپارتمان,۳٬۸۰۰٬۰۰۰٬۰۰۰ تومان,"<p class=""kt-description-row__text kt-description-row__text--primary"">با ما به نتیجه برسید✅
پلاک یک واقعی‼️
کاملا مهندسی ساخت✅
بهترین لوکیشن منطقه ساحلی✅
منطقه برند و توریستی بدون بومی✅
امنیت بسیار عالی✅
ویو ابدی و بسیار دلنشین✅
کوچه آرام و بدون اجاره شبانه✅
به شرط سند تک برگ روی میز‼️
فول امکانات‼️
دسترسی عالی به اتوبان مرکز خرید و دریا✅
تخفیف ویژه پای قرارداد‼️
خرید با هر بودجه و سلیقه 
کارشناس فروش:
خانم مهندس ذوالقدر</p>"
145,1401,3,False,True,True,۷ ساعت پیش در محمودآباد | فروش آپارتمان,۲٬۳۸۰٬۰۰۰٬۰۰۰ تومان,"<p class=""kt-description-row__text kt-description-row__text--primary"">حسِ خوب خانه دار شدن ___▶◀
_____
         # فروش آپارتمان _ شهری
  
  در محدوده ی توریستی و ساحلی حمودآباد 
                     _______     
⭕کد :835
======
محیط آرام و دور از اجاره شبانه و سروصدا 
امکان دسترسی به دریا زیر 5 دقیقه 
نزدیک بودن به مراکز خرید و امکانات رفاهی - درمانگاه 
      ----------------------------------------------
   145 متری 
⭐ تعداد طبقات: 3 طبقه 
⭐تعداد واحدها: 1 واحدی 
⭐تعداد خواب: 3 خواب و 2 خواب مستر 
⭐طبقه قابل فروش : طبقه 2
⭐انشعابات نصب: آب - برق -گاز 
-----------------------------------©
        ⭕  خرید بدون واسطه ازسازنده 
    برای کسب اطلاعات بیشتر و موارد مشابه تماس بگیرید            
__________________             
کد:A640
////////   
کارشناس فروش: پریماه پهلوی  
***********  ⭕
***********  ⭕
***********</p>"
140,1401,3,False,True,True,۷ ساعت پیش در محمودآباد | فروش آپارتمان,۲٬۳۸۰٬۰۰۰٬۰۰۰ تومان,"<p class=""kt-description-row__text kt-description-row__text--primary"">فروش آپارتمان 

کد ۱۷۱/۱۸۰

آپارتمان شهری محمودآباد 

۳ طبقه ۳ واحد 

طبقه اول 

۱۴۰ متر بنا 

۳ خوابه 

۲ خواب با مستر 

نوساز 

کوچه بن بست 

جای برای آسانسور دارد 

با پارکینگ 

سنددار 

قیمت متری ۱۷ میلیون 

جهت اطلاع بیشتر تماس بگیرید 

A640

خانم اسفندیار 
آ.م</p>"
140,1401,3,True,True,True,۷ ساعت پیش در محمودآباد | فروش آپارتمان,۲٬۸۰۰٬۰۰۰٬۰۰۰ تومان,"<p class=""kt-description-row__text kt-description-row__text--primary"">فروش آپارتمان 

کد ۱۷۱/۶۲۹

آپارتمان شهری محمودآباد 

۵ طبقه ۵ واحد 

طبقه اول 

۱۴۰ متر بنا 

۳ خوابه 

۱ خواب با مستر 

نوساز 

سنددار 

قیمت ۲/۸۰۰ میلیارد 

جهت اطلاع بیشتر تماس بگیرید 

A641

خانم اسفندیار 
آ.م</p>"
136,1401,3,True,True,True,۸ ساعت پیش در محمودآباد | فروش آپارتمان,۴٬۰۰۰٬۰۰۰٬۰۰۰ تومان,"<p class=""kt-description-row__text kt-description-row__text--primary"">*املاک آماتیس همراه همیشگی شما*

کد:۵۲۳۰
 ۱۳۶متر بنا 
اول طبقه 
۱۳ واحدی
 سه خواب
{فول امکانات}
*پارکینگ-انباری-آسانسور*
*سنددار*
*روبه آفتاب*
*سال ساخت*
*خوش نقشه*
*غرق نور*        
*زیر قیمت منطقه*
*کم واحد* 
*کابینت:MDF ترک*
*بدون پرتی*
*کفپوش:سرامیک*
*شوفاژ،پکیج،اسپلیت*
ویو زیبای ساحل                  

برای معرفی برترین فایل ها منطقه منتظر تماستان هستیم!!!
 
مدیریت  آقای نوری زاده  ***********
مشاورخانم علی پور   ***********
تلفن دفتر     ***********
آدرس املاک:محموداباد ،بلوار  امام، کوچه نسیم ۳۷ ،املاک آماتیس</p>"
130,1400,3,True,True,True,۹ ساعت پیش در محمودآباد | فروش آپارتمان,۲٬۴۷۰٬۰۰۰٬۰۰۰ تومان,"<p class=""kt-description-row__text kt-description-row__text--primary"">کد۱۳۳
درود به دوستان گرامی 
داخل شهر دسترسی به مراکز خرید و رفاهی 
۳ دقیقه پیاده تا ساحل 
۴طبقه تک واحدی
۳ خواب
سند تکبرگ 
مدارک تکمیل آماده انتقال 
ویلا آپارتمان زمین متناسب با بودجه وسلیقه و شرایط شما 
خانم عزیزی مشاور امور ملکی در شمال در پناه خدا</p>"
145,1401,3,True,True,True,۱۷ ساعت پیش در محمودآباد | فروش آپارتمان,۶٬۷۰۰٬۰۰۰٬۰۰۰ تومان,"<p class=""kt-description-row__text kt-description-row__text--primary"">لکیشن برند توریستی درباارزش ترین منطقه شهرساحلی محموداباد
مشرف به کافه های ساحلی
فول هوشمند،کنترل از راه دور
رووف گاردن ۱۰۰متری
کمدکابینت ممبران نئوکلاسیک
هود گاز سینک نصب
دکوراسیون داخلی تکمیل،
لمسه کاری آینه کاری کاغذدیپاری وگچ بری و...
سه خواب مستر
نماسنگ رومی کلاسیک
پارکینگ و انبار مستقل
سندتک برگ اماده انتقال در روز</p>"
94,1401,2,False,True,True,۱۸ ساعت پیش در محمودآباد | فروش آپارتمان,۱٬۷۰۰٬۰۰۰٬۰۰۰ تومان,"<p class=""kt-description-row__text kt-description-row__text--primary"">کد ۰۰۳۷۰
قیمت درج شده در آگهی واقعی است
فروش ویژه ی آپارتمان شهری
محمودآباد ، خیابان معلم
نوساز کلید نخورده
۹۴ متری
۲ خواب
۳ طبقه ، ۳ واحدی
سند تکبرگ
پروانه ی ساخت
پایان کار
کف سرامیک
فروشی طبقه ی ۲
انباری
پارکینگ
امکان بازدید همه روزه
نقد و اقساط
تخفیف ویژه
نورا سپهری ، کارشناس فروش املاک در مازندران</p>"
